case_id,family,subfamily,entry_theta_deg,heading_deg,heading_offset_deg,x_entry_km,y_entry_km
N01,nominal,center_seeking,0,180,0,3000,0
N02,nominal,center_seeking,30,-150,0,2598.07621135332,1500
N03,nominal,center_seeking,60,-120,0,1500,2598.07621135332
N04,nominal,center_seeking,90,-90,0,1.83697019872103e-13,3000
N05,nominal,center_seeking,120,-60,0,-1500,2598.07621135332
N06,nominal,center_seeking,150,-30,0,-2598.07621135332,1500
N07,nominal,center_seeking,180,-7.01670929853488e-15,0,-3000,3.67394039744206e-13
N08,nominal,center_seeking,210,30,0,-2598.07621135332,-1500
N09,nominal,center_seeking,240,60,0,-1500,-2598.07621135332
N10,nominal,center_seeking,270,90,0,-5.51091059616309e-13,-3000
N11,nominal,center_seeking,300,120,0,1500,-2598.07621135332
N12,nominal,center_seeking,330,150,0,2598.07621135332,-1500
H01_+00,heading,finite_heading_family,0,180,0,3000,0
H01_-30,heading,finite_heading_family,0,150,-30,3000,0
H01_+30,heading,finite_heading_family,0,210,30,3000,0
H01_-60,heading,finite_heading_family,0,120,-60,3000,0
H01_+60,heading,finite_heading_family,0,240,60,3000,0
H02_+00,heading,finite_heading_family,30,-150,0,2598.07621135332,1500
H02_-30,heading,finite_heading_family,30,-180,-30,2598.07621135332,1500
H02_+30,heading,finite_heading_family,30,-120,30,2598.07621135332,1500
H02_-60,heading,finite_heading_family,30,-210,-60,2598.07621135332,1500
H02_+60,heading,finite_heading_family,30,-90,60,2598.07621135332,1500
H03_+00,heading,finite_heading_family,60,-120,0,1500,2598.07621135332
H03_-30,heading,finite_heading_family,60,-150,-30,1500,2598.07621135332
H03_+30,heading,finite_heading_family,60,-90,30,1500,2598.07621135332
H03_-60,heading,finite_heading_family,60,-180,-60,1500,2598.07621135332
H03_+60,heading,finite_heading_family,60,-60,60,1500,2598.07621135332
H04_+00,heading,finite_heading_family,90,-90,0,1.83697019872103e-13,3000
H04_-30,heading,finite_heading_family,90,-120,-30,1.83697019872103e-13,3000
H04_+30,heading,finite_heading_family,90,-60,30,1.83697019872103e-13,3000
H04_-60,heading,finite_heading_family,90,-150,-60,1.83697019872103e-13,3000
H04_+60,heading,finite_heading_family,90,-30,60,1.83697019872103e-13,3000
H05_+00,heading,finite_heading_family,120,-60,0,-1500,2598.07621135332
H05_-30,heading,finite_heading_family,120,-90,-30,-1500,2598.07621135332
H05_+30,heading,finite_heading_family,120,-30,30,-1500,2598.07621135332
H05_-60,heading,finite_heading_family,120,-120,-60,-1500,2598.07621135332
H05_+60,heading,finite_heading_family,120,-7.105427357601e-15,60,-1500,2598.07621135332
H06_+00,heading,finite_heading_family,150,-30,0,-2598.07621135332,1500
H06_-30,heading,finite_heading_family,150,-60,-30,-2598.07621135332,1500
H06_+30,heading,finite_heading_family,150,1.06581410364015e-14,30,-2598.07621135332,1500
H06_-60,heading,finite_heading_family,150,-90,-60,-2598.07621135332,1500
H06_+60,heading,finite_heading_family,150,30,60,-2598.07621135332,1500
H07_+00,heading,finite_heading_family,180,-7.01670929853488e-15,0,-3000,3.67394039744206e-13
H07_-30,heading,finite_heading_family,180,-30,-30,-3000,3.67394039744206e-13
H07_+30,heading,finite_heading_family,180,30,30,-3000,3.67394039744206e-13
H07_-60,heading,finite_heading_family,180,-60,-60,-3000,3.67394039744206e-13
H07_+60,heading,finite_heading_family,180,60,60,-3000,3.67394039744206e-13
H08_+00,heading,finite_heading_family,210,30,0,-2598.07621135332,-1500
H08_-30,heading,finite_heading_family,210,3.5527136788005e-15,-30,-2598.07621135332,-1500
H08_+30,heading,finite_heading_family,210,60,30,-2598.07621135332,-1500
H08_-60,heading,finite_heading_family,210,-30,-60,-2598.07621135332,-1500
H08_+60,heading,finite_heading_family,210,90,60,-2598.07621135332,-1500
H09_+00,heading,finite_heading_family,240,60,0,-1500,-2598.07621135332
H09_-30,heading,finite_heading_family,240,30,-30,-1500,-2598.07621135332
H09_+30,heading,finite_heading_family,240,90,30,-1500,-2598.07621135332
H09_-60,heading,finite_heading_family,240,-2.8421709430404e-14,-60,-1500,-2598.07621135332
H09_+60,heading,finite_heading_family,240,120,60,-1500,-2598.07621135332
H10_+00,heading,finite_heading_family,270,90,0,-5.51091059616309e-13,-3000
H10_-30,heading,finite_heading_family,270,60,-30,-5.51091059616309e-13,-3000
H10_+30,heading,finite_heading_family,270,120,30,-5.51091059616309e-13,-3000
H10_-60,heading,finite_heading_family,270,30,-60,-5.51091059616309e-13,-3000
H10_+60,heading,finite_heading_family,270,150,60,-5.51091059616309e-13,-3000
H11_+00,heading,finite_heading_family,300,120,0,1500,-2598.07621135332
H11_-30,heading,finite_heading_family,300,90,-30,1500,-2598.07621135332
H11_+30,heading,finite_heading_family,300,150,30,1500,-2598.07621135332
H11_-60,heading,finite_heading_family,300,60,-60,1500,-2598.07621135332
H11_+60,heading,finite_heading_family,300,180,60,1500,-2598.07621135332
H12_+00,heading,finite_heading_family,330,150,0,2598.07621135332,-1500
H12_-30,heading,finite_heading_family,330,120,-30,2598.07621135332,-1500
H12_+30,heading,finite_heading_family,330,180,30,2598.07621135332,-1500
H12_-60,heading,finite_heading_family,330,90,-60,2598.07621135332,-1500
H12_+60,heading,finite_heading_family,330,210,60,2598.07621135332,-1500
C1_track_plane_aligned,critical,C1_track_plane_aligned,170.537677791974,0,NaN,-3000,500
C2_small_crossing_angle,critical,C2_small_crossing_angle,90,-100,-10,1.83697019872103e-13,3000
