case_tag,case_id,family,case_family,D_G_worst,D_A_worst,D_T_worst,D_T_bar_worst,t0G_star,t0A_star,t0T_star,feasible_truth,active_constraint,summary_tag
dt_first_probe_baseline,N01,dt_first_probe,nominal,1.37393886264635,1.17215138213768,1,0.5,0,0,0,1,DT,feasible_neighbor
dt_first_probe_T3F0,N01,dt_first_probe,nominal,2051.57021449728,45.2942624898263,1.36363636363636,0.681818181818182,0,0,0,1,DT,feasible_neighbor
dt_first_probe_T3F1,N01,dt_first_probe,nominal,26.4095172449124,5.13901909365166,1,0.5,650,650,0,1,DT,feasible_neighbor
dt_first_probe_T2F0,N01,dt_first_probe,nominal,1.37393886264635,1.17215138213768,1,0.5,0,0,0,1,DT,feasible_neighbor
dt_first_probe_P6T4F0,N01,dt_first_probe,nominal,0,0,1,0.5,0,0,0,0,joint,joint_first_failure
dt_first_probe_P6T4F1,N01,dt_first_probe,nominal,14.0744085756656,3.75158747407877,1,0.5,340,340,0,1,DT,feasible_neighbor
dg_first_probe_1,N01,dg_first_probe,nominal,1.37393886264635,1.17215138213768,1,0.5,0,0,0,1,DT,feasible_neighbor
dg_first_probe_2,H01_+00,dg_first_probe,heading,1.37393886264635,1.17215138213768,1,0.5,0,0,0,1,DT,feasible_neighbor
dg_first_probe_3,H01_+30,dg_first_probe,heading,0,0,1,0.5,710,710,0,0,joint,joint_first_failure
dg_first_probe_4,H01_-30,dg_first_probe,heading,0.362676534929278,0.602226315374466,1,0.5,0,0,0,0,DG,DG_first_failure
dg_first_probe_5,C1_track_plane_aligned,dg_first_probe,critical,7.11046297731225,2.66654513881044,1,0.5,40,40,40,1,DT,feasible_neighbor
dg_first_probe_6,C2_small_crossing_angle,dg_first_probe,critical,60.0298971370992,7.74789630397181,1,0.5,360,360,190,1,DT,feasible_neighbor
