candidate_tag,family,seed_case_tag,entry_theta_deg,heading_offset_deg,delta_entry_theta_deg,delta_heading_offset_deg
dg_refined_01,dg_refined_probe,dg_first_probe_3,-6,22,-6,-8
dg_refined_02,dg_refined_probe,dg_first_probe_3,-6,26,-6,-4
dg_refined_03,dg_refined_probe,dg_first_probe_3,-6,30,-6,0
dg_refined_04,dg_refined_probe,dg_first_probe_3,-6,34,-6,4
dg_refined_05,dg_refined_probe,dg_first_probe_3,-6,38,-6,8
dg_refined_06,dg_refined_probe,dg_first_probe_3,-3,22,-3,-8
dg_refined_07,dg_refined_probe,dg_first_probe_3,-3,26,-3,-4
dg_refined_08,dg_refined_probe,dg_first_probe_3,-3,30,-3,0
dg_refined_09,dg_refined_probe,dg_first_probe_3,-3,34,-3,4
dg_refined_10,dg_refined_probe,dg_first_probe_3,-3,38,-3,8
dg_refined_11,dg_refined_probe,dg_first_probe_3,0,22,0,-8
dg_refined_12,dg_refined_probe,dg_first_probe_3,0,26,0,-4
dg_refined_13,dg_refined_probe,dg_first_probe_3,0,30,0,0
dg_refined_14,dg_refined_probe,dg_first_probe_3,0,34,0,4
dg_refined_15,dg_refined_probe,dg_first_probe_3,0,38,0,8
dg_refined_16,dg_refined_probe,dg_first_probe_3,3,22,3,-8
dg_refined_17,dg_refined_probe,dg_first_probe_3,3,26,3,-4
dg_refined_18,dg_refined_probe,dg_first_probe_3,3,30,3,0
dg_refined_19,dg_refined_probe,dg_first_probe_3,3,34,3,4
dg_refined_20,dg_refined_probe,dg_first_probe_3,3,38,3,8
dg_refined_21,dg_refined_probe,dg_first_probe_3,6,22,6,-8
dg_refined_22,dg_refined_probe,dg_first_probe_3,6,26,6,-4
dg_refined_23,dg_refined_probe,dg_first_probe_3,6,30,6,0
dg_refined_24,dg_refined_probe,dg_first_probe_3,6,34,6,4
dg_refined_25,dg_refined_probe,dg_first_probe_3,6,38,6,8
