h_km,i_deg,P,T,F,Ns,objective_value,dominant_constraint,has_near_optimal_alternatives,DG_worst,DA_worst,DT_bar_worst,DT_worst,slice_source
800,60,6,8,1,48,48,GAT,1,893.461846993687,29.8908321562597,0.8,1.6,hi
800,60,6,8,1,48,48,GAT,1,893.461846993687,29.8908321562597,0.8,1.6,PT
800,60,6,8,1,48,48,GAT,1,893.461846993687,29.8908321562597,0.8,1.6,nominal
800,60,6,8,1,48,48,GAT,1,893.461846993687,29.8908321562597,0.8,1.6,heading
800,60,6,8,1,48,48,GAT,1,893.461846993687,29.8908321562597,0.8,1.6,critical
1000,60,6,8,1,48,48,GAT,1,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,hi
1000,60,6,8,1,48,48,GAT,1,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,PT
1000,60,6,8,1,48,48,GAT,1,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,nominal
1000,60,6,8,1,48,48,GAT,1,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,heading
1000,60,6,8,1,48,48,GAT,1,737.906829879801,27.1644405405265,0.530973451327434,1.06194690265487,critical
